Product Name,Description,Category,Price,Main Photo URL
Super Nice Vintage Red Disney,Disney,Clothing,$79.45,https://media-photos.depop.com/b1/424055931/2803096469_c67a5fae076446a181b6e81047290515/P8.jpg
Cream Hollister Button Up Shirt,Hollister Co.,Clothing,$16.45,https://media-photos.depop.com/b1/3581175/2810809375_c696e69c69c04902a7654a9baa17dbe6/P8.jpg
A Saint Apparel Custon,Other,Clothing,$42.70,https://media-photos.depop.com/b1/50808059/repop_45845455_2809961358/2869279307_d01c437153634147b42e64051c742bec/P8.jpg
Grey Carhartt Short Sleeve Pocket,Carhartt,Clothing,$8.05,https://media-photos.depop.com/b1/416177590/2696395405_2e542516246640718b8f818033ee2b66/P8.jpg
Vintage Tommy Hilfiger Men's Sweater,Tommy Hilfiger,Clothing,$19.60,https://media-photos.depop.com/b1/234707589/2900409040_0f0b05b3606244039efccfe155cfc9d4/P8.jpg
Blue Jerzees Brand Duck Donuts,Jerzees,Clothing,$26.95,https://media-photos.depop.com/b1/379388823/2881894382_da8406bcc12d42b69c3c81fb25c0ab04/P8.jpg
Burgundy Patagonia Long Sleeve Shirt,Patagonia,Clothing,$11.20,https://media-photos.depop.com/b1/472313809/2809122787_6e43bd615ded446dba8a118f9f011f75/P8.jpg
Vintage '90s Black and White,Polo Ralph Lauren,Clothing,$30.10,https://media-photos.depop.com/b1/16544921/2711161197_fecbc98a2c314af9818d0beddd40def4/P8.jpg
Measurements in Photos Vintage,Jerzees,Clothing,$17.49,https://media-photos.depop.com/b1/3824903/2841831296_1f392e3a167d4e9cbc7c416aac38bf65/P8.jpg
Streetwear T-Shirt Y2K Hip,Other,Clothing,$22.53,https://media-photos.depop.com/b1/423289419/2812700577_19b4c7c4883b439797acc48a55e89f0a/P8.jpg
Ralph Lauren Big Pony Shirt,Polo Ralph Lauren,Clothing,$32.20,https://media-photos.depop.com/b1/466357202/2811547189_bdf3e03ad2e64e038f283ac2574ba10a/P8.jpg
Red and Yellow Cactus Jack,Travis Scott,Clothing,$32.20,https://media-photos.depop.com/b1/36352103/2832175194_25c996b8cb9b4639a11717cd284b1085/P8.jpg
Vintage Rain Defender Carharrt Sweatshirt,Carhartt,Clothing,$37.44,https://media-photos.depop.com/r1/246081569/2888845980_8c101b70bfd94bb6b704c0f0a7789dbd/P8.jpg
